pitcher_id,pitcher_name,n,fp_actual,fp_pred,delta
672456,"Montero, K",4,7.21,9.40120216089277,-2.1912021608927708
607625,"Lugo, S",5,7.8,9.94774137321543,-2.147741373215431
676440,Bibee,6,6.736666666666667,8.825209317516292,-2.0885426508496243
641816,Mahle,5,6.25,8.266665873953803,-2.0166658739538033
681347,Burrows,5,8.234,10.221203965244916,-1.987203965244916
681190,"Vásquez, R",5,9.834,11.581842342623641,-1.7478423426236418
608331,Fried,6,10.693333333333333,12.276417370239281,-1.583084036905948
657277,"Webb, L",5,8.0,9.40916667254637,-1.4091666725463696
801403,Dollander,4,11.125,12.026680753323774,-0.9016807533237738
690997,McLean,5,13.834,14.673668880464728,-0.8396688804647283
608379,Wacha,5,9.716,10.521169426106429,-0.8051694261064295
676106,Hancock,5,11.5,12.214380878803569,-0.7143808788035688
808967,Yamamoto,4,12.855,13.24551259774417,-0.3905125977441699
592791,Taillon,5,9.65,9.972726049074533,-0.3227260490745323
671737,"Bradley, T",5,12.016,11.8699255605593,0.14607443944069942
656876,Rasmussen,3,12.916666666666666,12.757193720341784,0.15947294632488251
682052,"Lopez, J",4,6.1850000000000005,6.008203174610236,0.17679682538976493
669302,"Gilbert, L",6,12.138333333333334,11.955036211354702,0.18329712197863124
672282,Detmers,4,12.645,12.413692553863143,0.2313074461368565
680732,"Burke, S",5,9.348,9.042685403432296,0.30531459656770465
663903,Singer,3,5.609999999999999,5.259196795937336,0.35080320406266363
677952,"Ashcraft, B",4,14.71,14.312288771911275,0.39771122808872583
800048,Messick,5,14.268,13.843631115724074,0.42436888427592656
667755,"Soriano, J",6,15.598333333333334,15.160436677285967,0.4378966560473678
657746,Ryan,5,11.6,11.152308930096165,0.44769106990383456
592662,Ray,5,11.216,10.749805073967263,0.4661949260327365
676917,Cavalli,4,11.7925,11.032030300083045,0.7604696999169551
693433,Woo,4,11.875,10.971788336261472,0.9032116637385279
676974,Meyer,5,12.065999999999999,11.036155283374859,1.0298447166251403
665795,"Cabrera, E",5,11.084,9.997961961093523,1.0860380389064765
622663,"Severino, L",5,9.766,8.608718291286554,1.1572817087134464
668909,"Williams, G",6,14.57,13.326483030804873,1.2435169691951273
676083,Junk,5,9.782,8.380414599674966,1.4015854003250343
650644,Civale,5,9.1,7.684869258310355,1.4151307416896444
693645,Schlittler,6,17.445,16.027326009729155,1.4176739902708455
669160,May,4,9.3325,7.684657183729518,1.6478428162704812
669194,"Nelson, R",4,7.7925,6.1363214825605805,1.65617851743942
669387,Mlodzinski,4,11.125,9.270329547408306,1.8546704525916944
641927,Ober,5,10.565999999999999,8.687170653318535,1.8788293466814636
647336,Soroka,3,14.36,12.361801439706761,1.998198560293238
641743,Kay,3,7.0,4.873167744113509,2.126832255886491
671096,"Abbott, A",5,8.918000000000001,6.730892533360718,2.187107466639283
694738,Roupp,5,15.55,13.288837335809319,2.2611626641906817
656849,"Peterson, D",3,9.833333333333334,7.54063653627329,2.292696797060044
656605,"Keller, M",5,11.55,9.02721735379847,2.522782646201531
669923,Kirby,5,13.102,10.555045162826719,2.5469548371732813
656302,Cease,5,19.634,17.074037133545378,2.5599628664546223
677960,Weathers,3,16.636666666666667,14.03232897823849,2.604337688428176
694819,Misiorowski,5,19.381999999999998,16.74051469617129,2.641485303828709
686218,Sheehan,3,14.64,11.867788926394342,2.772211073605659
593958,"Rodriguez, Ed",5,10.2,6.995668143083489,3.20433185691651
650633,"King, M",5,14.05,10.79158925238853,3.258410747611471
664285,"Valdez, F",4,11.5825,8.269594685999014,3.312905314000986
660271,Ohtani,3,18.083333333333332,14.614998824785188,3.4683345085481445
666142,Ragans,3,11.803333333333333,8.017110676451582,3.786222656881751
594798,deGrom,5,16.25,12.324031844349122,3.925968155650878
605280,"Holmes, C",5,12.918000000000001,8.869359634659363,4.048640365340638
693821,Elder,6,15.626666666666667,11.521797374290307,4.10486929237636
669373,Skubal,4,17.855,13.475054763474514,4.3799452365254865
669461,Liberatore,4,9.6675,5.257164211737416,4.410335788262584
543135,Eovaldi,5,15.35,10.916568042169647,4.4334319578303525
669467,Pallante,4,11.145,6.6497613826625015,4.495238617337498
650911,"Sánchez, C",6,18.625,14.06562218400388,4.55937781599612
813349,Early,5,12.25,7.525142237614484,4.724857762385516
700241,McGreevy,5,12.034,6.828510892237008,5.205489107762992
695076,Lowder,3,13.473333333333334,7.9030998664688,5.570233466864535
680736,Wrobleski,3,12.056666666666667,6.436807513531651,5.619859153135016
605135,Bassitt,4,12.0,6.347808093734182,5.652191906265818
624133,Suarez,4,12.9175,7.19255117894226,5.72494882105774
695505,"Burns, Ch",5,17.934,12.202528499559184,5.731471500440817
681517,Leahy,5,10.782,4.667507637996485,6.114492362003515
656492,Griffin,5,15.065999999999999,8.878064708881723,6.187935291118276
607192,Glasnow,3,22.223333333333333,16.015794932977027,6.207538400356306
607259,"Martinez, N",5,14.55,8.139084472476291,6.410915527523709
694973,Skenes,4,19.5,12.970166650015084,6.529833349984916
684007,Imanaga,5,19.866,13.082148777498858,6.783851222501141
663556,McClanahan,4,16.1875,8.924731018405971,7.262768981594029
690986,Harrison,3,21.0,12.628523549660747,8.371476450339253
701542,"Warren, W",4,20.0825,11.67332895888988,8.40917104111012
527048,"Pérez, M",3,14.556666666666667,5.304161119787356,9.252505546879311
663436,Martin,5,21.4,9.908114425077331,11.491885574922668
519242,Sale,5,24.35,12.57927836678403,11.770721633215972
