pitcher_id,pitcher_name,team,game_date,n_starts_prior,fp_projection,avg_fp_actual,n_starts_actual,k_pct_prior,bb_pct_prior,k_bb_pct_prior,csw_pct_prior,whiff_pct_prior,hard_hit_pct_prior,barrel_pct_prior,gb_pct_prior,fb_pct_prior,xwoba_against_prior,era_prior,whip_prior,xfip_prior,siera_prior,ip_per_start_prior,hr_per_9_prior,wins_prior,is_home,park_factor,days_of_rest,prior_pitches,own_team_oaa,model_se,sample_se,total_se,lo80,hi80
808963,Sasaki,Dodgers,2026-05-30,10,10.309158403964009,8.12,10,0.2245771670800311,0.07831427956159243,0.14626288751843866,0.26898463816394075,0.2446234089460981,0.43191993241082416,0.10538990206413057,0.4301935747023499,0.2602020569500823,0.3301452962877355,4.588235294117647,1.3529411764705883,3.2894509803921568,2.834055717880042,5.1,1.7647058823529411,3,0.5,100.0,5.0,72.1,58.060435699226986,0.621643187371519,3.162277660168379,3.222800063982471,6.183974322066446,14.434342485861572
605280,"Holmes, C",Mets,2026-05-15,9,10.28464875368424,12.24,9,0.203184437712125,0.08608293530910871,0.11710150240301628,0.270303492709393,0.19472129937246216,0.4325078479246599,0.054673875130798744,0.5772404013492899,0.17684721655243538,0.31186201507670397,2.3924050632911396,1.1012658227848102,3.213746835443038,2.1003098422496564,5.851851851851851,0.5126582278481013,4,0.5,100.0,5.0,81.44444444444444,-27.32255797610682,0.45672892672423254,2.182178902359924,2.229463180770526,7.430935882297966,13.138361625070512
677958,Rocker,Rangers,2026-05-30,9,10.191629643772366,8.84,9,0.19011427242976447,0.08913333069547211,0.10098094173429237,0.25232482142916385,0.2364830849778494,0.4367209971236817,0.07142857142857142,0.5570630486831605,0.19393455706304868,0.3161195654568559,2.5033112582781456,1.1920529801324502,3.419695364238411,3.3760504481031415,5.592592592592593,0.5364238410596026,2,0.5,100.0,5.0,59.666666666666664,3.4153197470133523,1.0524523030771968,2.182178902359924,2.422717608834603,7.090551104464074,13.292708183080657
579328,Kikuchi,Angels,2026-04-24,5,10.177687162584938,6.18,5,0.24237896433018383,0.08492369134217657,0.15745527298800727,0.25815703006228236,0.22008032128514057,0.423287784679089,0.06926708074534162,0.45131904094035935,0.24218259533827557,0.31134610331719287,5.6103896103896105,1.4805194805194803,2.9482337662337663,1.7982127788279767,5.133333333333334,0.35064935064935066,0,0.5,100.0,5.0,90.0,-44.39915671117358,0.639302296538751,2.42535625036333,2.5081986300004617,6.967192916184347,13.38818140898553
656605,"Keller, M",Pirates,2026-05-30,12,10.17142646076441,8.67,12,0.18249650575206966,0.06392081201241506,0.1185756937396546,0.25930786996698474,0.19462553110533326,0.3980136009425577,0.05273982513073855,0.4759106615794399,0.20561874595061552,0.3122537677979353,4.3463414634146345,1.1707317073170733,3.198829268292683,3.1288253247152964,5.694444444444444,0.526829268292683,5,0.5,100.0,5.0,65.33333333333333,0.0,1.0028025555789568,2.041241452319315,2.274264635468431,7.260367727364819,13.082485194164
605488,Springs,Athletics,2026-05-27,11,10.14699399291914,8.39,11,0.20086753420086753,0.06693793760768356,0.13392959659318399,0.282030104168231,0.21722666346096053,0.3439093005055312,0.09723544218118747,0.3779217901850005,0.28629851187179206,0.3074936461057012,3.9789473684210526,1.1526315789473685,3.5047052631578945,2.951116858708381,5.757575757575758,1.563157894736842,3,0.5,100.0,5.0,73.36363636363636,0.0,0.5282882312431638,2.0851441405707476,2.151026392731282,7.393680210223099,12.900307775615182
669358,Baz,Orioles,2026-05-26,11,10.144491667226823,7.05,11,0.21001466210512285,0.08880646167712414,0.12120820042799871,0.25510275500981006,0.20504283858992367,0.37972491830463834,0.09125493830171195,0.4337098692033294,0.21018770171564466,0.31647857298127774,4.476683937823834,1.4300518134715028,3.4139170984455958,3.38347732840874,5.848484848484848,0.9792746113989638,2,0.5,100.0,5.0,78.9090909090909,-34.15319747013352,0.829666216760584,2.0851441405707476,2.2441417330886972,7.271990248873291,13.016993085580356
622663,"Severino, L",Athletics,2026-05-21,10,10.120191797997137,9.06,10,0.21335515548281503,0.08913999642410156,0.12421515905871347,0.25055180348496486,0.18261086564009218,0.4006211180124224,0.0889397406559878,0.4709580274797666,0.22071334462638809,0.32332974226696065,3.857142857142857,1.3714285714285714,3.3380685714285714,2.848195555555555,5.833333333333334,1.2342857142857142,2,0.5,100.0,5.0,87.6,0.0,0.5483954315175915,2.1320071635561044,2.201406844443778,7.302391037109102,12.937992558885172
607625,"Lugo, S",Royals,2026-05-30,12,10.115920207211657,9.19,12,0.19498867868036454,0.07759220598469033,0.11739647269567421,0.2571581380729806,0.1721258879570006,0.39993664871713647,0.08938866012036745,0.3824260845537441,0.2387952473058856,0.33858066367850215,3.5492957746478875,1.352112676056338,3.221098591549296,3.3943675390915464,5.916666666666667,0.5070422535211268,2,0.5,100.0,5.0,71.0,17.07659873506676,0.9912355549065454,2.041241452319315,2.2691880909209696,7.211359450832815,13.020480963590497
593958,"Rodriguez, Ed",D-backs,2026-05-26,11,10.069021917180342,11.46,11,0.18154433913746235,0.08708811604134543,0.09445622309611691,0.25004193842954997,0.16633632337080187,0.32870089412145487,0.07276368491321762,0.4249520970832446,0.2548435171385991,0.3218137000418917,2.3065326633165832,1.206030150753769,3.810793969849246,3.423079765162317,6.03030303030303,0.678391959798995,5,0.5,100.0,5.0,77.72727272727273,40.983836964160226,0.6479869657822691,2.0851441405707476,2.1835093759313775,7.274129915988178,12.863913918372505
