rank,name,team,role,IP,GS,SV,K,ERA,PROJ
132,Davis Martin,CWS,SP,142.66666666666663,25,0,104,4.100467289719627,196.0
133,Taj Bradley,MIN,SP,142.66666666666663,27,0,127,5.046728971962618,195.0
134,Kyle Hendricks,LAA,SP,164.66666666666663,31,0,114,4.75506072874494,193.0
135,Jordan Leasure,CWS,RP,64.33333333333331,1,7,81,3.917098445595856,191.0
136,Phil Maton,TEX,RP,61.333333333333336,0,5,81,2.7880434782608696,190.0
137,Michael King,SD,SP,73.33333333333331,15,0,76,3.4363636363636374,188.0
138,Tylor Megill,NYM,SP,68.33333333333331,14,0,89,3.9512195121951232,187.0
139,Cole Ragans,KC,SP,61.66666666666668,13,0,98,4.67027027027027,185.0
140,Cam Schlittler,NYY,SP,73.0,14,0,84,2.958904109589041,185.0
141,Robert Garcia,TEX,RP,64.0,0,9,68,2.953125,185.0
142,Aaron Ashby,MIL,RP,66.66666666666667,1,3,76,2.1599999999999997,185.0
143,Kyle Freeland,COL,SP,162.66666666666663,31,0,124,4.979508196721313,183.0
144,Jason Adam,SD,RP,65.33333333333331,0,0,70,1.928571428571429,180.0
145,Tyler Mahle,TEX,SP,86.66666666666667,16,0,66,2.1807692307692306,180.0
146,Ben Brown,CHC,SP,106.33333333333331,15,1,121,5.924764890282133,179.0
147,Pablo López,MIN,SP,75.66666666666667,14,0,73,2.7356828193832596,179.0
148,Mike Vasil,CWS,RP,101.0,3,4,82,2.495049504950495,178.0
149,Luke Weaver,NYY,RP,64.66666666666667,0,8,72,3.6185567010309274,178.0
150,Brad Lord,WSH,SP,130.66666666666663,19,0,108,4.339285714285715,178.0
151,Blake Snell,LAD,SP,61.333333333333336,11,0,72,2.3478260869565215,178.0
152,Jacob Misiorowski,MIL,SP,66.0,14,0,87,4.363636363636363,178.0
153,Brad Keller,CHC,RP,69.66666666666667,1,3,75,2.066985645933014,177.0
154,Carmen Mlodzinski,PIT,SP,99.0,12,0,89,3.5454545454545454,177.0
155,Orion Kerkering,PHI,RP,60.0,0,4,65,3.3,176.0
156,Lake Bachar,MIA,RP,71.0,1,3,75,3.9295774647887325,175.0
157,José A. Ferrer,WSH,CLOSER,76.33333333333331,0,11,71,4.480349344978167,175.0
158,Stephen Kolek,KC,SP,112.66666666666667,19,0,77,3.5147928994082838,174.0
159,Mike Burrows,PIT,SP,96.0,19,0,97,3.9375,173.0
160,Sean Newcomb,OAK,RP,92.33333333333331,5,2,91,2.7292418772563183,172.0
161,Miles Mikolas,STL,SP,156.33333333333331,31,0,100,4.835820895522389,171.0
162,Gabe Speier,SEA,RP,62.0,0,0,82,2.6129032258064515,170.0
163,Luis Ortiz,CLE,SP,88.66666666666667,16,0,96,4.364661654135338,170.0
164,Cade Povich,BAL,SP,112.33333333333331,20,0,118,5.207715133531158,169.0
165,Brendon Little,TOR,RP,68.33333333333331,0,1,91,3.0292682926829277,169.0
166,Walker Buehler,PHI,SP,126.0,24,0,92,4.928571428571429,168.0
167,Griffin Canning,NYM,SP,76.33333333333331,16,0,70,3.7729257641921405,167.0
168,Garrett Cleavinger,TB,RP,61.333333333333336,0,2,82,2.3478260869565215,166.0
169,Eduard Bazardo,SEA,RP,78.66666666666667,0,0,82,2.516949152542373,166.0
170,Reid Detmers,LAA,RP,63.66666666666668,0,3,80,3.9581151832460724,165.0
171,Keegan Akin,BAL,RP,63.333333333333336,3,8,59,3.4105263157894736,164.0
172,Tony Santillan,CIN,RP,73.66666666666667,0,7,75,2.443438914027149,164.0
173,Jack Dreyer,LAD,RP,76.33333333333331,5,4,74,2.94759825327511,164.0
174,JoJo Romero,STL,RP,61.0,0,8,55,2.0655737704918034,163.0
175,Michael Soroka,CHC,SP,89.66666666666667,17,0,95,4.5167286245353155,163.0
176,Bryan Baker,TB,RP,68.66666666666667,0,3,83,4.063106796116505,163.0
177,J.T. Ginn,OAK,SP,90.33333333333331,16,0,99,5.081180811808119,162.0
178,Steven Okert,HOU,RP,71.66666666666667,1,1,84,3.013953488372093,161.0
179,Jared Koenig,MIL,RP,66.0,0,2,68,2.8636363636363638,160.0
180,Bryan King,HOU,RP,68.0,0,2,69,2.7794117647058822,160.0
181,Matt Strahm,PHI,RP,62.333333333333336,0,6,70,2.7433155080213902,160.0
182,Janson Junk,MIA,SP,110.0,16,1,77,4.172727272727273,159.0
183,Taijuan Walker,PHI,SP,123.66666666666667,21,1,86,4.0754716981132075,158.0
184,Brant Hurter,DET,RP,63.0,4,2,68,2.4285714285714284,157.0
185,Seranthony Domínguez,TOR,RP,62.66666666666668,0,2,79,3.159574468085106,156.0
186,Ryan Gusto,MIA,SP,101.66666666666667,17,0,97,5.665573770491803,155.0
187,Clarke Schmidt,NYY,SP,78.66666666666667,14,0,73,3.3177966101694913,155.0
188,Braxton Ashcraft,PIT,RP,69.66666666666667,8,0,71,2.712918660287081,155.0
189,Griffin Jax,TB,RP,66.0,2,0,99,4.2272727272727275,154.0
190,Jake Irvin,WSH,SP,180.0,33,0,124,5.7,154.0
191,Justin Wrobleski,LAD,RP,66.66666666666667,2,2,76,4.319999999999999,152.0
192,Randy Vásquez,SD,SP,133.66666666666663,26,0,78,3.8379052369077318,152.0
